BBDD_ID,PRICE,CONTRUCTION_DATE,NEIGHBORHOOD,PARKING_LOTS,AREA,ADMINISTRATION_PRICE,STRATUM,STORAGE_ROOM,BEDROOM,BATHROOM,HALF_BATHROOM,VIEW_TYPE,PARKING_LOT_TYPES,KITCHEN_FEATURES,BALCONIES,LIVING_ROOMS,DINNING_ROOMS,LAUNDRY_AREAS,SERVICE_ROOMS,DRESSING_ROOMS,SERVICE_BATHROOMS,STUDYING_ROOMS,GREEN_ZONES,GYM,POOL,TURCO,VISITOR_PARKING_LOTS,YARD,KIDS_PARK,BBQ,SOCIAL_ROOM,SPORTS_FIELD,SOLARIUM
346103,290000000,2014-01-01 5:00:00,Rodeo Alto,1,67,220000,3,,3,2,,Calle,Sencillo,Integral,1,1,,,,,,1,YES,NO,YES,NO,YES,NO,YES,NO,YES,NO,NO
342128,190000000,2017-01-01 5:00:00,Pajarito,1,54,107000,3,,3,2,,,Cubierto,Integral,1,1,1,1,,,,,YES,YES,YES,NO,YES,NO,YES,NO,YES,YES,NO
132853,465000000,2018-01-01 5:00:00,Los Colores,2,86,0,5,,3,2,,"Calle,Exterior",Lineal,Integral,1,0,,1,0,1,0,0,NO,NO,YES,YES,NO,NO,YES,NO,YES,YES,NO
476376,670000000,2000-01-01 5:00:00,El Campestre,2,137,562000,6,,3,4,,,Cubierto,"Integral,Isla",1,1,1,,1,1,1,1,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO
475993,375000000,2018-01-01 5:00:00,Los Almendros,1,70,205000,5,,2,2,,,,,,1,,1,,,,,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO
475900,470000000,1991-01-01 5:00:00,Conquistadores,1,160,359000,6,,5,4,,,Cubierto,Integral,1,1,1,1,,,,,YES,YES,NO,NO,NO,NO,NO,NO,NO,YES,NO
150354,350000000,2020-10-15 0:00:00,Simón Bolívar,0,100,,4,,3,2,0,,,,0,0,,1,0,0,0,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
150378,1150000000,2006-01-01 5:00:00,El Tesoro,1,246,,6,1,3,3,0,Exterior,Cubierto,"Integral,Cerrada",1,0,,1,0,1,0,1,YES,NO,YES,NO,NO,NO,YES,NO,YES,NO,NO
393188,169000000,2020-01-01 5:00:00,Pajarito,1,48,142256,3,,3,1,,,,Integral,,1,,,,,,1,NO,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO
344845,480000000,2020-01-01 5:00:00,La Candelaria,1,95,0,5,,3,2,,,,Integral,1,1,1,1,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
476069,940000000,2001-01-01 5:00:00,Castropol,3,234,890000,6,1,3,4,,,Cubierto,,1,1,,1,1,1,,1,YES,NO,NO,NO,NO,NO,YES,NO,YES,NO,NO
399329,470000000,2008-01-01 5:00:00,La Aguacatala,1,87,290000,6,,2,2,,Exterior,Cerrado,Integral,1,1,,1,,,,1,NO,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO
414297,250000000,2011-01-01 5:00:00,Rodeo Alto,1,62,160692,3,,3,2,,,Cubierto,,1,,,1,,,,1,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO
379289,470000000,2011-01-01 5:00:00,Rosales,1,100,247000,5,,3,2,,,,Integral,1,1,1,,,1,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
265058,1100000000,2011-01-01 5:00:00,La Tomatera,2,186,600000,6,,1,2,,,,,1,,,,,1,,,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
377550,315000000,2015-01-01 5:00:00,Velódromo,1,77,80000,4,,2,2,,,Cubierto,Integral,1,1,1,1,,,,,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
379390,690000000,2006-01-01 5:00:00,Conquistadores,1,160,500000,5,,4,3,,,Cubierto,Integral,1,,,1,1,,,,YES,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO
377676,405000000,2015-01-01 5:00:00,Belén Centro,1,81,347000,5,,3,2,,Exterior,Sencillo,"Integral,Isla",1,1,1,1,,1,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
150064,420000000,2009-01-01 5:00:00,Conquistadores,1,155,192000,5,,3,3,,,,,1,,,1,,,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
377692,450000000,2013-01-01 5:00:00,Los Balsos,2,68,258472,6,1,1,2,,,,,1,,,1,,1,,1,YES,YES,YES,NO,NO,NO,YES,NO,YES,NO,NO
144356,850000000,2000-01-01 5:00:00,Conquistadores,2,165,756512,5,1,4,5,,,,,1,,,1,1,,1,1,YES,YES,NO,NO,NO,NO,YES,NO,YES,NO,NO
325143,300000000,2017-01-01 5:00:00,Loma de los Bernal,1,75,220000,5,,3,2,,,Cubierto,Integral,1,1,1,1,,1,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO
437200,550000000,2005-01-01 5:00:00,Castropol,2,110,,6,,4,2,,,,,1,1,1,,,1,,,NO,YES,YES,NO,YES,NO,YES,NO,YES,NO,NO
